OperatingPoint,measurementType,sysType,jetFlavor,cvlMin,cvlMax,cvbMin,cvbMax,formula
shape,iterativefit,central,0,0.06,0.08,0.96,0.98,1.0724446774
shape,iterativefit,central,0,0.06,0.08,0.98,1.0,1.0686490536
shape,iterativefit,central,0,0.08,0.1,0.0,0.02,2.3800001144
shape,iterativefit,central,0,0.08,0.1,0.02,0.04,2.3800001144
shape,iterativefit,central,0,0.08,0.1,0.04,0.06,2.2225718498
shape,iterativefit,central,0,0.08,0.1,0.06,0.08,2.0908498764
shape,iterativefit,central,0,0.08,0.1,0.08,0.1,1.9726905823
shape,iterativefit,central,0,0.08,0.1,0.1,0.12,1.8769136667
shape,iterativefit,central,0,0.08,0.1,0.12,0.14,1.8123389482
shape,iterativefit,central,0,0.08,0.1,0.14,0.16,1.7808843851
shape,iterativefit,central,0,0.08,0.1,0.16,0.18,1.759529233
shape,iterativefit,central,0,0.08,0.1,0.18,0.2,1.7527736425
shape,iterativefit,central,0,0.08,0.1,0.2,0.22,1.7403622866
shape,iterativefit,central,0,0.08,0.1,0.22,0.24,1.7140638828
shape,iterativefit,central,0,0.08,0.1,0.24,0.26,1.6657090187
shape,iterativefit,central,0,0.08,0.1,0.26,0.28,1.6011923552
shape,iterativefit,central,0,0.08,0.1,0.28,0.3,1.5174297094
shape,iterativefit,central,0,0.08,0.1,0.3,0.32,1.3994826078
shape,iterativefit,central,0,0.08,0.1,0.32,0.34,1.3019527197
shape,iterativefit,central,0,0.08,0.1,0.34,0.36,1.2424310446
shape,iterativefit,central,0,0.08,0.1,0.36,0.38,1.1995091438
shape,iterativefit,central,0,0.08,0.1,0.38,0.4,1.1872844696
shape,iterativefit,central,0,0.08,0.1,0.4,0.42,1.1747524738
shape,iterativefit,central,0,0.08,0.1,0.42,0.44,1.157869935
shape,iterativefit,central,0,0.08,0.1,0.44,0.46,1.140619278
shape,iterativefit,central,0,0.08,0.1,0.46,0.48,1.1169524193
shape,iterativefit,central,0,0.08,0.1,0.48,0.5,1.0759391785
shape,iterativefit,central,0,0.08,0.1,0.5,0.52,1.0129928589
shape,iterativefit,central,0,0.08,0.1,0.52,0.54,0.9883648753
shape,iterativefit,central,0,0.08,0.1,0.54,0.56,0.7858549953
shape,iterativefit,central,0,0.08,0.1,0.56,0.58,0.6648399234
shape,iterativefit,central,0,0.08,0.1,0.58,0.6,0.6361716986
shape,iterativefit,central,0,0.08,0.1,0.6,0.62,0.7368378043
shape,iterativefit,central,0,0.08,0.1,0.62,0.64,0.851149857
shape,iterativefit,central,0,0.08,0.1,0.64,0.66,0.853222549
shape,iterativefit,central,0,0.08,0.1,0.66,0.68,0.9886014462
shape,iterativefit,central,0,0.08,0.1,0.68,0.7,1.01610744
shape,iterativefit,central,0,0.08,0.1,0.7,0.72,1.032730341
shape,iterativefit,central,0,0.08,0.1,0.72,0.74,1.0383019447
shape,iterativefit,central,0,0.08,0.1,0.74,0.76,1.0181851387
shape,iterativefit,central,0,0.08,0.1,0.76,0.78,1.014112711
shape,iterativefit,central,0,0.08,0.1,0.78,0.8,1.031046629
shape,iterativefit,central,0,0.08,0.1,0.8,0.82,1.0541086197
shape,iterativefit,central,0,0.08,0.1,0.82,0.84,1.1147590876
shape,iterativefit,central,0,0.08,0.1,0.84,0.86,1.1675174236
shape,iterativefit,central,0,0.08,0.1,0.86,0.88,1.1837719679
shape,iterativefit,central,0,0.08,0.1,0.88,0.9,1.1855205297
shape,iterativefit,central,0,0.08,0.1,0.9,0.92,1.1777666807
shape,iterativefit,central,0,0.08,0.1,0.92,0.94,1.1655138731
shape,iterativefit,central,0,0.08,0.1,0.94,0.96,1.1424988508
shape,iterativefit,central,0,0.08,0.1,0.96,0.98,1.1176592112
shape,iterativefit,central,0,0.08,0.1,0.98,1.0,1.0686490536
